[2020-04-05 21:45:41.971669] Update: 1350 / 1953, Frames: 1383424, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: 0.003,VL: 0.000, Ent: 1.671
[2020-04-05 21:48:08.474961] Update: 1360 / 1953, Frames: 1393664, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.043,VL: 0.000, Ent: 1.718
[2020-04-05 21:50:34.734427] Update: 1370 / 1953, Frames: 1403904, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.025,VL: 0.000, Ent: 1.873
[2020-04-05 21:53:01.308823] Update: 1380 / 1953, Frames: 1414144, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.016,VL: 0.000, Ent: 1.639
[2020-04-05 21:55:31.257026] Update: 1390 / 1953, Frames: 1424384, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.025,VL: 0.001, Ent: 1.938
[2020-04-05 21:58:06.753386] Update: 1400 / 1953, Frames: 1434624, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.038,VL: 0.001, Ent: 1.729
[2020-04-05 22:00:34.455339] Update: 1410 / 1953, Frames: 1444864, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.005,VL: 0.000, Ent: 1.729
[2020-04-05 22:03:01.822331] Update: 1420 / 1953, Frames: 1455104, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.043,VL: 0.000, Ent: 1.726
[2020-04-05 22:05:36.249126] Update: 1430 / 1953, Frames: 1465344, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: 0.002,VL: 0.000, Ent: 1.497
[2020-04-05 22:08:10.639108] Update: 1440 / 1953, Frames: 1475584, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.008,VL: 0.015, Ent: 1.197
[2020-04-05 22:10:39.324189] Update: 1450 / 1953, Frames: 1485824, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.005,VL: 0.000, Ent: 1.573
[2020-04-05 22:13:08.399356] Update: 1460 / 1953, Frames: 1496064, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.004,VL: 0.000, Ent: 1.466
[2020-04-05 22:15:40.662705] Update: 1470 / 1953, Frames: 1506304, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.017,VL: 0.000, Ent: 1.464
[2020-04-05 22:18:12.143895] Update: 1480 / 1953, Frames: 1516544, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.016,VL: 0.000, Ent: 1.324
[2020-04-05 22:20:41.332981] Update: 1490 / 1953, Frames: 1526784, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.005,VL: 0.000, Ent: 1.636
[2020-04-05 22:23:07.665057] Update: 1500 / 1953, Frames: 1537024, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.034,VL: 0.021, Ent: 1.664
[2020-04-05 22:25:35.236595] Update: 1510 / 1953, Frames: 1547264, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.022,VL: 0.000, Ent: 1.566
[2020-04-05 22:28:02.711321] Update: 1520 / 1953, Frames: 1557504, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.007,VL: 0.000, Ent: 1.304
